class,path
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRD_S_N_arc00025_cha00001_00245.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_pla20086_pla20086_01986.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRN_M_N_txt00073_txt00073_11304.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_B_sec00020_cha00095_00041.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ani20024_ani20024_02067.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_arc00046_arc00046_01080.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_pla00049_pla00049_10984.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CND_S_N_pla20091_pla20091_02351.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_ind00042_ind00042_10885.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRD_S_N_arc00001_arc00001_00221.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NRD_A_art0033_art0029_0578.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_pla00096_pla00096_00932.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRD_S_B_art20001_art20001_01807.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_cha00029_ani10123_11687.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRD_S_B_art00091_ind00098_01389.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CNN_S_N_pla00049_pla00049_10723.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_art00095_art00095_01005.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_nat10110_cha00062_11383.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_sec00087_ani00037_00720.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CNN_S_N_pla00057_pla00057_01166.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ind00054_ind00054_01343.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NNN_A_txt0065_txt0067_0151.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_cha00039_cha00039_11013.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NNN_M_N_arc00054_arc00005_10006.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_S_NNN_R_txt0025_txt0025_0025.jpg
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NRN_A_cha0004_cha0016_0505.jpg
