class,path
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ind00018_ind00018_10708.jpg
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NRN_A_sec0039_cha0036_0553.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_nat10110_cha00070_11373.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_pla10115_cha00085_10124.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_pla00089_pla00089_00611.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_nat10145_ani00024_11981.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRN_S_O_art00040_art00040_10463.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ind20027_ind20027_01768.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_S_NNN_C_txt0078_txt0078_0078.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NND_S_B_arc00028_arc00028_01094.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRD_S_B_txt00020_txt00020_20024.jpg
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_S_NNN_T_txt0095_txt0095_0095.jpg
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NRN_A_cha0013_pla0002_0487.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_arc20024_arc20024_01477.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NNN_M_N_sec00041_nat00097_11253.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_nat10161_nat10148_12119.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_arc20013_arc20013_02157.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NRN_A_nat0035_nat0033_0530.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRN_S_N_ani10155_ani10155_12485.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CNN_S_B_cha20005_cha20005_02419.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CNN_S_N_sec20003_sec20003_02114.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_ani10187_ani10200_12440.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_ind20001_ind20001_01742.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_ind00021_ind00025_10398.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_ani10212_ani10212_12376.jpg
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_S_NNN_C_txt0065_txt0065_0065.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_nat20083_nat20083_01587.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_nat10110_cha00052_11366.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_arc10117_arc10117_10766.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRN_S_N_pla10123_pla10123_11554.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CRD_S_N_ind00039_ind00039_01330.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_nat00098_ani00058_11461.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_ani10118_ani10119_11611.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_CRN_M_O_art10113_art10112_11560.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ani00087_ani00087_00207.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRD_S_N_arc00025_cha00001_00245.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_B_pla20013_pla20013_02392.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NNN_S_N_ind00063_ind00063_01351.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_D_NND_A_ani0097_ani0047_0597.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NNN_S_N_nat00040_nat00061_11434.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_B_sec00009_ind00039_00029.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_N_art10110_cha00063_11646.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_CNN_S_N_pla20069_pla20069_01969.tif
FAKE,D:/Diplom/ela_core/datasets/CASIA1/Sp\Sp_S_NNN_T_txt0094_txt0094_0094.jpg
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_CRN_M_N_nat00086_nat00085_10068.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_M_O_ani10104_ani10101_10021.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_D_NRN_S_N_sec00082_ani00081_00723.tif
FAKE,D:/Diplom/ela_core/datasets/Some_data_sets/CASIA2/Tp\Tp_S_NRD_S_N_ind00081_ind00081_10670.jpg
