Server_Q,Primary_Q,TP,FP,TN,FN,Accuracy,Recall,Precision,F1_Score,Specificity,MCC,Mean_Prob_FAKE
75,100,372,150,350,128,72.2,74.4,71.26,72.8,70.0,0.444,46.31
75,95,376,137,363,124,73.9,75.2,73.29,74.23,72.6,0.478,45.12
75,90,369,187,313,131,68.2,73.8,66.37,69.89,62.6,0.366,47.48
75,85,389,169,331,111,72.0,77.8,69.71,73.53,66.2,0.443,47.76
75,80,307,120,380,193,68.7,61.4,71.9,66.24,76.0,0.378,41.53
75,75,351,224,276,149,62.7,70.2,61.04,65.3,55.2,0.257,48.71
75,70,260,104,396,240,65.6,52.0,71.43,60.19,79.2,0.324,37.96
75,60,341,161,339,159,68.0,68.2,67.93,68.06,67.8,0.36,44.02
75,50,420,320,180,80,60.0,84.0,56.76,67.74,36.0,0.228,54.64
85,100,423,146,354,77,77.7,84.6,74.34,79.14,70.8,0.559,49.6
85,95,404,141,359,96,76.3,80.8,74.13,77.32,71.8,0.528,48.1
85,90,384,175,325,116,70.9,76.8,68.69,72.52,65.0,0.421,49.09
85,85,397,238,262,103,65.9,79.4,62.52,69.96,52.4,0.33,51.74
85,80,268,93,407,232,67.5,53.6,74.24,62.25,81.4,0.364,38.14
85,75,377,192,308,123,68.5,75.4,66.26,70.53,61.6,0.374,48.67
85,70,420,195,305,80,72.5,84.0,68.29,75.34,61.0,0.462,52.69
85,60,339,137,363,161,70.2,67.8,71.22,69.47,72.6,0.404,44.24
85,50,278,123,377,222,65.5,55.6,69.33,61.71,75.4,0.316,41.2
95,100,357,94,406,143,76.3,71.4,79.16,75.08,81.2,0.529,42.52
95,95,365,193,307,135,67.2,73.0,65.41,69.0,61.4,0.346,48.13
95,90,333,140,360,167,69.3,66.6,70.4,68.45,72.0,0.387,44.39
95,85,326,142,358,174,68.4,65.2,69.66,67.36,71.6,0.369,43.48
95,80,311,132,368,189,67.9,62.2,70.2,65.96,73.6,0.36,42.73
95,75,319,129,371,181,69.0,63.8,71.21,67.3,74.2,0.382,42.9
95,70,348,132,368,152,71.6,69.6,72.5,71.02,73.6,0.432,45.13
95,60,346,154,346,154,69.2,69.2,69.2,69.2,69.2,0.384,45.62
95,50,306,188,312,194,61.8,61.2,61.94,61.57,62.4,0.236,44.78
